label_number,mtry,ntree,pearson,spearman
B.cells,2,500,0.8722965088293998,0.6472509502556869
B.cells,3,500,0.897584402477502,0.6880990198465088
B.cells,4,500,0.9085062865794241,0.6996850657086346
B.cells,5,500,0.9211658000114326,0.7257249869707132
B.cells,6,500,0.931706686094635,0.7363011518445525
B.cells,7,500,0.9326770120959355,0.7431455719125406
B.cells,8,500,0.9429161086810778,0.7586346738691645
B.cells,9,500,0.9458096145577538,0.7644622980751136
B.cells,10,500,0.9430240127384097,0.7572119318680556
B.cells,50,500,0.9809409832627081,0.8289554421360833
B.cells,100,500,0.9868198735603076,0.844677214796111
B.cells,150,500,0.9879875803104384,0.8495427701953229
B.cells,200,500,0.9902181010420502,0.8551478134941995
CD4.T.cells,2,500,0.7881447065461544,0.5982134832224091
CD4.T.cells,3,500,0.8089790941644898,0.6126031711849709
CD4.T.cells,4,500,0.8166397036096088,0.6159666773305281
CD4.T.cells,5,500,0.8234589298220322,0.6275107552629714
CD4.T.cells,6,500,0.8308243768829917,0.6376279720579534
CD4.T.cells,7,500,0.8401160275954642,0.6481370983375171
CD4.T.cells,8,500,0.8460145345488769,0.6445109182389092
CD4.T.cells,9,500,0.8469372471168254,0.6548147566919051
CD4.T.cells,10,500,0.8530082412953959,0.660503595114482
CD4.T.cells,50,500,0.9051928462699399,0.7270569518299209
CD4.T.cells,100,500,0.9199704481329349,0.7517403312682198
CD4.T.cells,150,500,0.931497867302633,0.7679606846986186
CD4.T.cells,200,500,0.9354625374842158,0.7726126368046701
CD8.T.cells,2,500,0.7425657778832385,0.561565237330722
CD8.T.cells,3,500,0.7491231849179244,0.5697586931844194
CD8.T.cells,4,500,0.7599438307752241,0.5775215403323013
CD8.T.cells,5,500,0.7763251078276943,0.5852415550135954
CD8.T.cells,6,500,0.7821159405982758,0.5922103220884722
CD8.T.cells,7,500,0.788381577563987,0.5903797446919462
CD8.T.cells,8,500,0.794161387758047,0.5973744960799916
CD8.T.cells,9,500,0.8016406486570764,0.6119663539296492
CD8.T.cells,10,500,0.7877948796711406,0.6013343898613058
CD8.T.cells,50,500,0.8590783170959985,0.6748680882827525
CD8.T.cells,100,500,0.8924338133957349,0.7178054863524024
CD8.T.cells,150,500,0.9095853823844996,0.7362441914420097
CD8.T.cells,200,500,0.9254272464459842,0.7574534101044349
monocytic.lineage,2,500,0.9578038459121426,0.8281757647449718
monocytic.lineage,3,500,0.9627405182034144,0.8255938385810287
monocytic.lineage,4,500,0.9662047548744461,0.8352654126071678
monocytic.lineage,5,500,0.9697243194345564,0.8327157489288619
monocytic.lineage,6,500,0.9718707554057928,0.8350187607008446
monocytic.lineage,7,500,0.9735287842625504,0.8371276972102811
monocytic.lineage,8,500,0.9749769320501036,0.839914339386272
monocytic.lineage,9,500,0.9767844572055033,0.84068301512192245
monocytic.lineage,10,500,0.9771820113000756,0.8428973517576168
monocytic.lineage,50,500,0.9854050953743202,0.855442215015879
monocytic.lineage,100,500,0.9863713291682258,0.8610775959800013
monocytic.lineage,150,500,0.9869822906779712,0.8628464954975171
monocytic.lineage,200,500,0.9874026517536698,0.8640026946545271
neutrophils,2,500,0.9758510835467152,0.7838444732572064
neutrophils,3,500,0.9797052006068172,0.7917271345895961
neutrophils,4,500,0.9826086832477573,0.801859264029256
neutrophils,5,500,0.984080719680057,0.8064169431297644
neutrophils,6,500,0.9850530582420773,0.8070337501767353
neutrophils,7,500,0.9864856261905881,0.8133808144689012
neutrophils,8,500,0.9872412256132831,0.8141035880169438
neutrophils,9,500,0.9875847338815107,0.8160362357096045
neutrophils,10,500,0.9875920905197243,0.8162038316586645
neutrophils,50,500,0.994021639747327,0.8396184762334766
neutrophils,100,500,0.995612846691521,0.845216275352332
neutrophils,150,500,0.9963695669340088,0.8481738683798233
neutrophils,200,500,0.9965769217137885,0.8531571130491722
NK.cells,2,500,0.8304917985283832,0.6322840456062968
NK.cells,3,500,0.8419418930566566,0.6493856348617901
NK.cells,4,500,0.85529437309051215,0.6648098682416854
NK.cells,5,500,0.8706825819422375,0.671287430348251
NK.cells,6,500,0.8780411233363647,0.6820514836471839
NK.cells,7,500,0.8820644159339459,0.6884028985841492
NK.cells,8,500,0.8866628985023715,0.6950528179521612
NK.cells,9,500,0.8929109942815934,0.7090509794484264
NK.cells,10,500,0.8921359103742298,0.7087976681149722
NK.cells,50,500,0.9417446118661814,0.7663492532917641
NK.cells,100,500,0.9550341986785289,0.7870522385517045
NK.cells,150,500,0.9642670277781915,0.8012846610184735
NK.cells,200,500,0.9685382355321592,0.8138116971209625
cancer,2,500,0.9733902061931736,0.8299457716104593
cancer,3,500,0.9778214918907512,0.8370160583457013
cancer,4,500,0.9787901402200503,0.837816487140548
cancer,5,500,0.9803526699623007,0.8444513259145385
cancer,6,500,0.9825314285664652,0.8486507107985143
cancer,7,500,0.9832161599269473,0.8490209749904915
cancer,8,500,0.9839855335438532,0.8516850145877544
cancer,9,500,0.9842299757751394,0.8512247857983567
cancer,10,500,0.9845766927180019,0.8536321198850042
cancer,50,500,0.9900882841135581,0.868921072869349
cancer,100,500,0.9912094376774613,0.8727322381885728
cancer,150,500,0.9918196250194424,0.8720396489066872
cancer,200,500,0.9920646317700591,0.8728284717454947
fibroblasts,2,500,0.9645553774237546,0.775069264148769
fibroblasts,3,500,0.9712444646229632,0.7820403880123088
fibroblasts,4,500,0.9747999810657823,0.7850826206067881
fibroblasts,5,500,0.9775134633119019,0.7928875556667788
fibroblasts,6,500,0.9819234832643188,0.8007303407623384
fibroblasts,7,500,0.983699870512863,0.8026603772736244
fibroblasts,8,500,0.9845586458159871,0.8064546616976106
fibroblasts,9,500,0.9854840177470557,0.8067753656932993
fibroblasts,10,500,0.98679145779177,0.8082944667948748
fibroblasts,50,500,0.9933919368344332,0.8273036635518977
fibroblasts,100,500,0.9946927588114566,0.8313658593286986
fibroblasts,150,500,0.9950704983074699,0.8343772196739562
fibroblasts,200,500,0.9949968673026607,0.8368768848262977
endothelial.cells,2,500,0.9638730366930782,0.7763442381015447
endothelial.cells,3,500,0.9726379990871415,0.7932406981906894
endothelial.cells,4,500,0.9756448111713122,0.8012494313011144
endothelial.cells,5,500,0.9778323082102022,0.8031618070369898
endothelial.cells,6,500,0.9806462570624296,0.813057698929118
endothelial.cells,7,500,0.9817018546712886,0.8141383068707554
endothelial.cells,8,500,0.9836263800293028,0.8168501897179333
endothelial.cells,9,500,0.9842626420933938,0.8221768086833742
endothelial.cells,10,500,0.98459515096355,0.822943129904799
endothelial.cells,50,500,0.9904611047270974,0.8490826369584226
endothelial.cells,100,500,0.9926902233369028,0.8571364350755942
endothelial.cells,150,500,0.9934214688393257,0.8595038302869039
endothelial.cells,200,500,0.9914523832877793,0.861947490914247
